"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"07/01/2017 16:00:00 - 07/01/2017 17:00:00","BZN|DK1","Without Sequence","31.15","",""
"07/01/2017 17:00:00 - 07/01/2017 18:00:00","BZN|DK1","Without Sequence","31.43","",""
"07/01/2017 18:00:00 - 07/01/2017 19:00:00","BZN|DK1","Without Sequence","31.44","",""
"07/01/2017 19:00:00 - 07/01/2017 20:00:00","BZN|DK1","Without Sequence","31.18","",""
"07/01/2017 20:00:00 - 07/01/2017 21:00:00","BZN|DK1","Without Sequence","31.05","",""
"07/01/2017 21:00:00 - 07/01/2017 22:00:00","BZN|DK1","Without Sequence","30.96","",""
"07/01/2017 22:00:00 - 07/01/2017 23:00:00","BZN|DK1","Without Sequence","30.83","",""
"07/01/2017 23:00:00 - 08/01/2017 00:00:00","BZN|DK1","Without Sequence","30.60","",""
"08/01/2017 00:00:00 - 08/01/2017 01:00:00","BZN|DK1","Without Sequence","30.75","",""
"08/01/2017 01:00:00 - 08/01/2017 02:00:00","BZN|DK1","Without Sequence","30.64","",""
"08/01/2017 02:00:00 - 08/01/2017 03:00:00","BZN|DK1","Without Sequence","30.53","",""
"08/01/2017 03:00:00 - 08/01/2017 04:00:00","BZN|DK1","Without Sequence","30.54","",""
"08/01/2017 04:00:00 - 08/01/2017 05:00:00","BZN|DK1","Without Sequence","30.63","",""
"08/01/2017 05:00:00 - 08/01/2017 06:00:00","BZN|DK1","Without Sequence","30.70","",""
"08/01/2017 06:00:00 - 08/01/2017 07:00:00","BZN|DK1","Without Sequence","30.77","",""
"08/01/2017 07:00:00 - 08/01/2017 08:00:00","BZN|DK1","Without Sequence","30.58","",""
"08/01/2017 08:00:00 - 08/01/2017 09:00:00","BZN|DK1","Without Sequence","30.75","",""
"08/01/2017 09:00:00 - 08/01/2017 10:00:00","BZN|DK1","Without Sequence","31.09","",""
"08/01/2017 10:00:00 - 08/01/2017 11:00:00","BZN|DK1","Without Sequence","35.05","",""
"08/01/2017 11:00:00 - 08/01/2017 12:00:00","BZN|DK1","Without Sequence","27.87","",""
"08/01/2017 12:00:00 - 08/01/2017 13:00:00","BZN|DK1","Without Sequence","30.96","",""
"08/01/2017 13:00:00 - 08/01/2017 14:00:00","BZN|DK1","Without Sequence","30.87","",""
"08/01/2017 14:00:00 - 08/01/2017 15:00:00","BZN|DK1","Without Sequence","30.85","",""
"08/01/2017 15:00:00 - 08/01/2017 16:00:00","BZN|DK1","Without Sequence","30.96","",""
"08/01/2017 16:00:00 - 08/01/2017 17:00:00","BZN|DK1","Without Sequence","31.60","",""
"08/01/2017 17:00:00 - 08/01/2017 18:00:00","BZN|DK1","Without Sequence","31.84","",""
"08/01/2017 18:00:00 - 08/01/2017 19:00:00","BZN|DK1","Without Sequence","31.46","",""
"08/01/2017 19:00:00 - 08/01/2017 20:00:00","BZN|DK1","Without Sequence","31.00","",""
"08/01/2017 20:00:00 - 08/01/2017 21:00:00","BZN|DK1","Without Sequence","30.83","",""
"08/01/2017 21:00:00 - 08/01/2017 22:00:00","BZN|DK1","Without Sequence","30.95","",""
"08/01/2017 22:00:00 - 08/01/2017 23:00:00","BZN|DK1","Without Sequence","30.55","",""
"08/01/2017 23:00:00 - 09/01/2017 00:00:00","BZN|DK1","Without Sequence","29.89","",""
