"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"09/01/2016 00:00:00 - 09/01/2016 01:00:00","BZN|DK1","Without Sequence","24.51","",""
"09/01/2016 01:00:00 - 09/01/2016 02:00:00","BZN|DK1","Without Sequence","23.44","",""
"09/01/2016 02:00:00 - 09/01/2016 03:00:00","BZN|DK1","Without Sequence","22.79","",""
"09/01/2016 03:00:00 - 09/01/2016 04:00:00","BZN|DK1","Without Sequence","22.49","",""
"09/01/2016 04:00:00 - 09/01/2016 05:00:00","BZN|DK1","Without Sequence","21.96","",""
"09/01/2016 05:00:00 - 09/01/2016 06:00:00","BZN|DK1","Without Sequence","22.25","",""
"09/01/2016 06:00:00 - 09/01/2016 07:00:00","BZN|DK1","Without Sequence","22.39","",""
"09/01/2016 07:00:00 - 09/01/2016 08:00:00","BZN|DK1","Without Sequence","22.97","",""
"09/01/2016 08:00:00 - 09/01/2016 09:00:00","BZN|DK1","Without Sequence","23.95","",""
"09/01/2016 09:00:00 - 09/01/2016 10:00:00","BZN|DK1","Without Sequence","24.70","",""
"09/01/2016 10:00:00 - 09/01/2016 11:00:00","BZN|DK1","Without Sequence","26.49","",""
"09/01/2016 11:00:00 - 09/01/2016 12:00:00","BZN|DK1","Without Sequence","26.93","",""
"09/01/2016 12:00:00 - 09/01/2016 13:00:00","BZN|DK1","Without Sequence","26.32","",""
"09/01/2016 13:00:00 - 09/01/2016 14:00:00","BZN|DK1","Without Sequence","25.32","",""
"09/01/2016 14:00:00 - 09/01/2016 15:00:00","BZN|DK1","Without Sequence","24.85","",""
"09/01/2016 15:00:00 - 09/01/2016 16:00:00","BZN|DK1","Without Sequence","26.13","",""
"09/01/2016 16:00:00 - 09/01/2016 17:00:00","BZN|DK1","Without Sequence","27.87","",""
"09/01/2016 17:00:00 - 09/01/2016 18:00:00","BZN|DK1","Without Sequence","29.09","",""
"09/01/2016 18:00:00 - 09/01/2016 19:00:00","BZN|DK1","Without Sequence","27.87","",""
"09/01/2016 19:00:00 - 09/01/2016 20:00:00","BZN|DK1","Without Sequence","24.63","",""
"09/01/2016 20:00:00 - 09/01/2016 21:00:00","BZN|DK1","Without Sequence","23.13","",""
"09/01/2016 21:00:00 - 09/01/2016 22:00:00","BZN|DK1","Without Sequence","22.57","",""
"09/01/2016 22:00:00 - 09/01/2016 23:00:00","BZN|DK1","Without Sequence","22.07","",""
"09/01/2016 23:00:00 - 10/01/2016 00:00:00","BZN|DK1","Without Sequence","21.26","",""
"10/01/2016 00:00:00 - 10/01/2016 01:00:00","BZN|DK1","Without Sequence","15.58","",""
"10/01/2016 01:00:00 - 10/01/2016 02:00:00","BZN|DK1","Without Sequence","19.05","",""
"10/01/2016 02:00:00 - 10/01/2016 03:00:00","BZN|DK1","Without Sequence","19.65","",""
"10/01/2016 03:00:00 - 10/01/2016 04:00:00","BZN|DK1","Without Sequence","19.43","",""
"10/01/2016 04:00:00 - 10/01/2016 05:00:00","BZN|DK1","Without Sequence","19.25","",""
"10/01/2016 05:00:00 - 10/01/2016 06:00:00","BZN|DK1","Without Sequence","19.39","",""
"10/01/2016 06:00:00 - 10/01/2016 07:00:00","BZN|DK1","Without Sequence","19.33","",""
"10/01/2016 07:00:00 - 10/01/2016 08:00:00","BZN|DK1","Without Sequence","19.57","",""
"10/01/2016 08:00:00 - 10/01/2016 09:00:00","BZN|DK1","Without Sequence","19.49","",""
"10/01/2016 09:00:00 - 10/01/2016 10:00:00","BZN|DK1","Without Sequence","20.15","",""
"10/01/2016 10:00:00 - 10/01/2016 11:00:00","BZN|DK1","Without Sequence","20.60","",""
"10/01/2016 11:00:00 - 10/01/2016 12:00:00","BZN|DK1","Without Sequence","21.59","",""
"10/01/2016 12:00:00 - 10/01/2016 13:00:00","BZN|DK1","Without Sequence","21.83","",""
"10/01/2016 13:00:00 - 10/01/2016 14:00:00","BZN|DK1","Without Sequence","21.33","",""
"10/01/2016 14:00:00 - 10/01/2016 15:00:00","BZN|DK1","Without Sequence","20.78","",""
"10/01/2016 15:00:00 - 10/01/2016 16:00:00","BZN|DK1","Without Sequence","21.45","",""
"10/01/2016 16:00:00 - 10/01/2016 17:00:00","BZN|DK1","Without Sequence","23.92","",""
"10/01/2016 17:00:00 - 10/01/2016 18:00:00","BZN|DK1","Without Sequence","25.96","",""
"10/01/2016 18:00:00 - 10/01/2016 19:00:00","BZN|DK1","Without Sequence","24.92","",""
"10/01/2016 19:00:00 - 10/01/2016 20:00:00","BZN|DK1","Without Sequence","24.34","",""
