"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"06/01/2015 20:00:00 - 06/01/2015 21:00:00","BZN|DK1","Without Sequence","28.45","",""
"06/01/2015 21:00:00 - 06/01/2015 22:00:00","BZN|DK1","Without Sequence","28.15","",""
"06/01/2015 22:00:00 - 06/01/2015 23:00:00","BZN|DK1","Without Sequence","28.08","",""
"06/01/2015 23:00:00 - 07/01/2015 00:00:00","BZN|DK1","Without Sequence","26.97","",""
"07/01/2015 00:00:00 - 07/01/2015 01:00:00","BZN|DK1","Without Sequence","26.35","",""
"07/01/2015 01:00:00 - 07/01/2015 02:00:00","BZN|DK1","Without Sequence","26.08","",""
"07/01/2015 02:00:00 - 07/01/2015 03:00:00","BZN|DK1","Without Sequence","26.03","",""
"07/01/2015 03:00:00 - 07/01/2015 04:00:00","BZN|DK1","Without Sequence","26.17","",""
"07/01/2015 04:00:00 - 07/01/2015 05:00:00","BZN|DK1","Without Sequence","26.10","",""
"07/01/2015 05:00:00 - 07/01/2015 06:00:00","BZN|DK1","Without Sequence","26.84","",""
"07/01/2015 06:00:00 - 07/01/2015 07:00:00","BZN|DK1","Without Sequence","30.07","",""
"07/01/2015 07:00:00 - 07/01/2015 08:00:00","BZN|DK1","Without Sequence","33.17","",""
"07/01/2015 08:00:00 - 07/01/2015 09:00:00","BZN|DK1","Without Sequence","34.10","",""
"07/01/2015 09:00:00 - 07/01/2015 10:00:00","BZN|DK1","Without Sequence","33.28","",""
"07/01/2015 10:00:00 - 07/01/2015 11:00:00","BZN|DK1","Without Sequence","34.08","",""
"07/01/2015 11:00:00 - 07/01/2015 12:00:00","BZN|DK1","Without Sequence","33.63","",""
"07/01/2015 12:00:00 - 07/01/2015 13:00:00","BZN|DK1","Without Sequence","32.76","",""
"07/01/2015 13:00:00 - 07/01/2015 14:00:00","BZN|DK1","Without Sequence","30.65","",""
"07/01/2015 14:00:00 - 07/01/2015 15:00:00","BZN|DK1","Without Sequence","30.31","",""
"07/01/2015 15:00:00 - 07/01/2015 16:00:00","BZN|DK1","Without Sequence","29.79","",""
"07/01/2015 16:00:00 - 07/01/2015 17:00:00","BZN|DK1","Without Sequence","30.72","",""
"07/01/2015 17:00:00 - 07/01/2015 18:00:00","BZN|DK1","Without Sequence","29.56","",""
"07/01/2015 18:00:00 - 07/01/2015 19:00:00","BZN|DK1","Without Sequence","28.84","",""
"07/01/2015 19:00:00 - 07/01/2015 20:00:00","BZN|DK1","Without Sequence","28.20","",""
"07/01/2015 20:00:00 - 07/01/2015 21:00:00","BZN|DK1","Without Sequence","27.75","",""
"07/01/2015 21:00:00 - 07/01/2015 22:00:00","BZN|DK1","Without Sequence","27.42","",""
"07/01/2015 22:00:00 - 07/01/2015 23:00:00","BZN|DK1","Without Sequence","26.70","",""
"07/01/2015 23:00:00 - 08/01/2015 00:00:00","BZN|DK1","Without Sequence","22.11","",""
"08/01/2015 00:00:00 - 08/01/2015 01:00:00","BZN|DK1","Without Sequence","21.92","",""
"08/01/2015 01:00:00 - 08/01/2015 02:00:00","BZN|DK1","Without Sequence","19.35","",""
"08/01/2015 02:00:00 - 08/01/2015 03:00:00","BZN|DK1","Without Sequence","16.11","",""
"08/01/2015 03:00:00 - 08/01/2015 04:00:00","BZN|DK1","Without Sequence","14.93","",""
"08/01/2015 04:00:00 - 08/01/2015 05:00:00","BZN|DK1","Without Sequence","15.00","",""
